Step Time Temp Press Volume PotEng KinEng TotEng Enthalpy
40000 39.999 301.886459078285 19481.0363236648 47241.633375 -3.50116819855026 0.0390121320021272 -13848.6242661925 -13274.208166738
41000 40.999 304.384922151409 19321.7791870494 47241.633375 -3.50149123065917 0.0393350029633116 -13848.6249107834 -13278.9046530544
42000 41.999 302.786457095499 19431.7836187754 47241.633375 -3.50128454781255 0.0391284367928635 -13848.6244440788 -13275.6606054876
43000 42.999 302.839333150639 19382.5914473525 47241.633375 -3.50129194038962 0.0391352698507262 -13848.6266821556 -13277.1133195434
44000 43.999 300.262592478665 19554.2390922572 47241.633375 -3.50095893879994 0.0388022832453076 -13848.6266222185 -13272.0520724586
45000 44.999 298.275659090834 19645.970546747 47241.633375 -3.50070186090121 0.0385455161553158 -13848.6253789836 -13269.3460437384
46000 45.999 297.437737388157 19661.8154849029 47241.633375 -3.50059383335732 0.0384372333519992 -13848.6264000213 -13268.8798623429
47000 46.999 301.83575977333 19503.6279518314 47241.633375 -3.50116233815637 0.0390055802409672 -13848.6270316616 -13273.544797474
48000 47.999 297.675902059249 19624.9174173202 47241.633375 -3.50062479416979 0.0384680108556186 -13848.6271332567 -13269.968568708
49000 48.999 296.55725387446 19688.960414329 47241.633375 -3.50047976400556 0.0383234503782054 -13848.6252545094 -13268.0783238631
50000 49.999 300.262509456063 19451.1804717249 47241.633375 -3.50095889819399 0.0388022725164769 -13848.6265027101 -13275.0907302429
51000 50.999 299.145099524057 19577.7756525382 47241.633375 -3.50081422102931 0.038657872055784 -13848.6253958941 -13271.356849217
52000 51.999 302.691097814229 19390.2999593657 47241.633375 -3.50127251856432 0.0391161137198781 -13848.6256193778 -13276.8849642679
53000 52.999 303.390930881742 19422.2529385754 47241.633375 -3.50136309362932 0.0392065516285296 -13848.6261680032 -13275.9433501983
54000 53.999 301.366339987369 19452.0996177142 47241.633375 -3.5011012550066 0.0389449181406854 -13848.6253474636 -13275.0624731398
55000 54.999 303.96312047641 19394.2095748373 47241.633375 -3.50143701582525 0.0392804944481764 -13848.6260855083 -13276.7701518253
56000 55.999 302.914135546132 19388.0089399658 47241.633375 -3.50130144120448 0.0391449364019719 -13848.62601921 -13276.9529168938
57000 56.999 295.473595282589 19688.6662803519 47241.633375 -3.50033920401502 0.0381834115299563 -13848.6231699402 -13268.0849121022
58000 57.999 302.700478783383 19393.0426828545 47241.633375 -3.50127315366957 0.0391173260021647 -13848.6233106696 -13276.8017838596
59000 58.999 298.4150025612 19556.2556984787 47241.633375 -3.50071899729888 0.0385635232096107 -13848.6218963571 -13271.9878851259
60000 59.999 296.937824569454 19606.5651890398 47241.633375 -3.50052812286185 0.0383726307032672 -13848.6219686343 -13270.5045362518
61000 60.999 302.224066751289 19433.9555200483 47241.633375 -3.50121119174755 0.0390557603090886 -13848.6217257539 -13275.5938466755
62000 61.999 303.816876045526 19350.9650901846 47241.633375 -3.50141686437394 0.039261595597729 -13848.6210751048 -13278.0402444392
63000 62.999 299.288135992129 19105.9576069023 47241.633375 -3.50192262356976 0.0386763563481586 -13852.9850688864 -13289.6285070198
64000 63.999 295.513680915155 19258.0892530078 47241.633375 -3.50143456975856 0.0381885917092655 -13852.9839121972 -13285.1416101826
65000 64.999 297.757056840794 19168.7007052242 47241.633375 -3.50172448481699 0.0384784983119288 -13852.9839460203 -13287.7773467528
66000 65.999 302.42949227772 19436.4536946046 47241.633375 -3.50129132423789 0.0390823070040884 -13848.8360689352 -13275.7345289047
67000 66.999 301.133092299604 19469.4370213708 47241.633375 -3.5011236207068 0.0389147760481514 -13848.8353786346 -13274.761295173
68000 67.999 302.071008218007 19422.8920248963 47241.633375 -3.50124482821323 0.0390359808869751 -13848.835389305 -13276.1337274579
69000 68.999 304.070453610487 19279.2801512498 47241.633375 -3.50150357069421 0.0392943648761764 -13848.8368232721 -13280.3696883221
70000 69.999 297.919410906532 19533.852207955 47241.633375 -3.50070851888545 0.0384994789755298 -13848.8361596397 -13272.8627357319
71000 70.999 294.409183090854 19739.1560242011 47241.633375 -3.50025451519758 0.0380458598522314 -13848.8346213814 -13266.8076274596
72000 71.999 297.640022219865 19616.690648858 47241.633375 -3.50067210301319 0.0384633741818355 -13848.8349153254 -13270.4189245378
73000 72.999 299.021767376095 19548.5836326936 47241.633375 -3.5008508564409 0.0386419341099381 -13848.8356893239 -13272.4278959401
74000 73.999 305.969364518498 19338.6064854592 47241.633375 -3.50174896380333 0.0395397570121131 -13848.8368271649 -13278.6204012159
75000 74.999 306.496287374065 19250.2672366014 47241.633375 -3.50181746901025 0.0396078501092964 -13848.8384756038 -13281.2268128673
76000 75.999 302.348142751436 19398.7453464645 47241.633375 -3.50128153593123 0.0390717943813382 -13848.8389661996 -13276.849291159
77000 76.999 298.381904833449 19609.1335782039 47241.633375 -3.50076864031101 0.0385592460620767 -13848.8375769957 -13270.6444133194
78000 77.999 299.575521547986 19548.797203754 47241.633375 -3.50092317818558 0.0387134945599049 -13848.8387345027 -13272.4246437818
79000 78.999 301.704998009557 19514.7609536849 47241.633375 -3.50119851899599 0.0389886821819926 -13848.839347256 -13273.4288463688
80000 79.999 302.190506061019 19375.2645473137 47241.633375 -3.50126178919969 0.039051423333913 -13848.8414634631 -13277.544141172
81000 80.999 297.910935999816 19142.8025885741 47241.633375 -3.5018377453298 0.0384983837817259 -13853.3574461923 -13288.9144764824
82000 81.999 294.944522891905 19246.4447364749 47241.633375 -3.5014543113868 0.0381150406530144 -13853.3570829351 -13285.8581300964
83000 82.999 299.48831041864 19072.6421442408 47241.633375 -3.50204207071785 0.0387022244549107 -13853.3593850517 -13290.9851599456
84000 83.999 303.840567253572 19296.3638411488 47241.633375 -3.5015038125486 0.0392646571611339 -13848.9566215499 -13279.9857584432
85000 84.999 301.496043571077 19410.946696178 47241.633375 -3.50120133379464 0.0389616794533465 -13848.9586173652 -13276.6091744152
86000 85.999 305.138478787153 19257.6810646453 47241.633375 -3.50167225808922 0.0394323834521035 -13848.9594985485 -13281.1292323396
87000 86.999 303.848024186738 19332.2727732825 47241.633375 -3.50150547492556 0.0392656208044252 -13848.9594164846 -13278.9297458079
88000 87.999 297.741818693311 19618.5223433478 47241.633375 -3.50071653059733 0.0384765291191969 -13848.9600059125 -13270.4900059445
89000 88.999 297.953480595773 19540.8712624083 47241.633375 -3.50074383051017 0.038503881727538 -13848.9597951305 -13272.7794080092
90000 89.999 298.773225854491 19537.6816546039 47241.633375 -3.50084990920057 0.0386098156284453 -13848.9603742885 -13272.8740356584
91000 90.999 297.822597573653 19580.3687464173 47241.633375 -3.50072709192257 0.0384869679986104 -13848.9604956959 -13271.6154892839
92000 91.999 297.606548582493 19605.9298166986 47241.633375 -3.50069936604382 0.0384590484563168 -13848.96127035 -13270.8625724997
93000 92.999 302.740113383884 19382.7343220513 47241.633375 -3.50136241482487 0.0391224478955789 -13848.9598677172 -13277.4422923143
94000 93.999 301.079692962347 19476.294626338 47241.633375 -3.50114773488225 0.0389078753676763 -13848.9594380583 -13274.6831518683
95000 94.999 300.212783119564 19449.9854867381 47241.633375 -3.50103560634118 0.0387958464899191 -13848.959039405 -13275.4585021586
96000 95.999 301.098630245855 19474.4085633984 47241.633375 -3.50115004240089 0.0389103225917294 -13848.9588792367 -13274.7382053302
97000 96.999 296.487210878222 19664.5678860941 47241.633375 -3.50055375220978 0.0383143988737973 -13848.9574133439 -13269.1297186095
98000 97.999 301.264280236268 19443.558218849 47241.633375 -3.50117128325272 0.038931729180524 -13848.9582162888 -13275.6471928901
99000 98.999 300.199400826304 19444.3931530875 47241.633375 -3.50103347065595 0.0387941171252013 -13848.957414123 -13275.6217719278
100000 99.999 301.697624726806 19419.2175097494 47241.633375 -3.50122748074132 0.038987729348663 -13848.9590055706 -13276.3656901494
101000 100.999 299.719167424889 19524.7479181971 47242.0264606935 -3.50097338612203 0.0387320576048603 -13848.9653140687 -13273.255548141
102000 101.999 305.068633984659 19286.4200083943 47243.2078340234 -3.5016682722874 0.039423357559843 -13848.9796589102 -13280.2830460022
103000 102.999 301.782476334059 19295.7269169615 47245.1753354627 -3.50124982803585 0.0389986945377372 -13849.0045339925 -13280.0097937644
104000 103.999 301.090617487901 19304.3775452115 47247.9259744159 -3.50116855673379 0.038909287120407 -13849.0370784535 -13279.7541054238
105000 104.999 301.073922178899 19128.7828504716 47251.4554930327 -3.50117715872664 0.038907129621854 -13849.0801164192 -13284.9332627517
106000 105.999 293.732467646628 19358.0577019499 47255.7601460331 -3.50024118525989 0.0379584093838711 -13849.1311035041 -13278.1704561244
107000 106.999 294.192003235117 19155.1259830027 47260.8359184486 -3.50031620412232 0.0380177941707626 -13849.1936398062 -13284.1577239256
108000 107.999 300.105633650195 18735.4060397345 47266.6773003635 -3.50109823152654 0.0387819997965108 -13849.2649269201 -13296.5415588196
109000 108.999 301.732542283934 18489.8019927887 47273.2773651661 -3.50132755359154 0.0389922416687982 -13849.341247691 -13303.7874101256
110000 109.999 297.15460552679 18419.7916611322 47280.6281712983 -3.50075735116288 0.0384006448359612 -13849.4268253077 -13305.8541786468
111000 110.999 305.616974844544 17854.2431103093 47288.7217736309 -3.50187422369299 0.0394942184592464 -13849.520020935 -13322.5466600586
112000 111.999 297.413084621562 17889.6808107497 47297.5473648588 -3.50083799579301 0.0384340475284696 -13849.6157930582 -13321.497932455
113000 112.999 302.597755743629 17450.6243124895 47307.0943590652 -3.50153450233316 0.0391040513266501 -13849.721804026 -13334.4612625217
114000 113.999 302.441535440348 17128.9365915627 47317.3517789915 -3.5015424081804 0.0390838633158608 -13849.8341794581 -13343.9623742588
115000 114.999 296.166412060462 17041.2934478381 47328.3073716701 -3.5007606003741 0.0382729427387233 -13849.9506305415 -13346.5506778458
116000 115.999 295.622021227526 16705.1226425519 47339.9474309947 -3.50072079856481 0.0382025922927308 -13850.0728250883 -13356.4819955344
117000 116.999 294.721029835034 16375.1415395418 47352.257544174 -3.50063575371939 0.0380861591302631 -13850.1983783565 -13366.2317744882
118000 117.999 300.864952779008 15792.5369363986 47365.2220079032 -3.50146234495189 0.0388801249597774 -13850.3288799685 -13383.4533403132
119000 118.999 295.764496329381 15552.6972899359 47378.824549911 -3.50083616620715 0.0382210040409674 -13850.4606486647 -13390.5434571582
120000 119.999 301.931151971814 14884.3498199901 47393.0474019304 -3.50166695668088 0.0390179075677727 -13850.5961964524 -13410.3109366414
121000 120.999 294.380969552821 14705.366528983 47407.8730534358 -3.50072553925693 0.0380422138779359 -13850.733301516 -13415.6063666182
122000 121.999 300.062194969324 14095.2937103374 47423.2825395788 -3.5014938282384 0.0387763863100453 -13850.8697677134 -13433.6591195085
123000 122.999 301.318704472785 13559.0829475657 47439.256112995 -3.50169078458832 0.0389387623065065 -13851.0080891273 -13449.5337143584
124000 123.999 296.411328602367 13271.3771301573 47455.77270528 -3.50109092414271 0.0383045927719559 -13851.145325483 -13458.0528936724
125000 124.999 293.374163954054 12904.8460463225 47472.8097420202 -3.50073270088706 0.0379121065752119 -13851.2823772474 -13468.9092110531
126000 125.999 298.370938467841 12196.2550765911 47490.3444330295 -3.50141248452115 0.0385578289024467 -13851.4186224748 -13489.9076688561
127000 126.999 297.358877433389 11647.4480071519 47508.3532803721 -3.50131518171214 0.0384270424511736 -13851.5525570439 -13506.1779527237
128000 127.999 295.471037002511 11259.9881978188 47526.8115248771 -3.50110337819565 0.0381830809289734 -13851.6811890667 -13517.665968615
129000 128.999 298.659819339309 10603.8792295359 47545.6943159232 -3.50154704125415 0.0385951603505845 -13851.8075236143 -13537.1300830136
130000 129.999 294.102641039049 10174.2510775829 47564.9755425981 -3.50098882179551 0.038006246088084 -13851.9303028297 -13549.8799334294
131000 130.999 298.733771489327 9386.64509953391 47584.6271013744 -3.50161617992419 0.0386047170264525 -13852.0458515909 -13573.262579714
132000 131.999 298.63772764563 8810.6891951231 47604.6208483214 -3.50163156309321 0.0385923054889502 -13852.157030417 -13590.3696939118
133000 132.999 293.864828502058 8424.62519289933 47624.9273622663 -3.50104077090988 0.0379755140899905 -13852.2610272796 -13601.8378292947
134000 133.999 296.278063963554 7702.77553527389 47645.5179585826 -3.50137742775295 0.0382873712718712 -13852.3602259243 -13623.2951197411
135000 134.999 297.46867947651 7060.27151325793 47666.3631438747 -3.50155429984045 0.0384412319309317 -13852.4522716381 -13642.4020893733
136000 135.999 297.011541663268 6513.84197062818 47687.4335493954 -3.5015166718772 0.0383821570033321 -13852.5380594955 -13658.6590417184
137000 136.999 296.354074767068 5922.54139677386 47708.6990667638 -3.50145111659134 0.0382971939830631 -13852.6156904331 -13676.2576267559
138000 137.999 292.795163830876 5504.45315135245 47730.1293452451 -3.50100865550021 0.0378372836457447 -13852.6854874179 -13688.7033912575
139000 138.999 288.932820605571 4971.12978907301 47751.693425971 -3.50052523565454 0.0373381614121635 -13852.7482969695 -13704.5874260114
140000 139.999 290.513020889199 4309.32488567185 47773.3595583459 -3.50074253245521 0.0375423672657247 -13852.8006607579 -13724.3061239719
141000 140.999 296.250524079273 3490.74069204757 47795.0965445272 -3.50149547209968 0.0382838123523881 -13852.8466389892 -13748.7131128837
142000 141.999 290.186854285568 3075.21836797887 47816.873440428 -3.50072049625711 0.0375002174633308 -13852.8811151751 -13761.1013846003
143000 142.999 293.63169688248 2302.23476515098 47838.6587015035 -3.50117257155297 0.0379453869966965 -13852.9087382251 -13784.1673584952
144000 143.999 291.021532450149 1830.2870234396 47860.4221607586 -3.50083967329732 0.0376080811112578 -13852.9263687443 -13798.2517997332
145000 144.999 290.53110401238 1175.16100464406 47882.1337934944 -3.50077868975852 0.0375447041084925 -13852.9359426001 -13817.8154571522
146000 145.999 294.744296705255 424.838740162626 47903.7623652945 -3.50132335444876 0.0380891658574118 -13852.9367543654 -13840.2344247205
147000 146.999 295.961118019705 -181.140796884029 47925.2773334501 -3.50147834073755 0.0382464130353318 -13852.9277108089 -13858.3461044297
148000 147.999 297.114537012767 -815.030330118613 47946.6497322766 -3.5016231202259 0.0383954668688441 -13852.9106134282 -13877.3011682512
149000 148.999 291.652939230515 -1182.02888957905 47967.8515237794 -3.50091057443796 0.0376896764393089 -13852.8835919946 -13888.2725683478
150000 149.999 296.717365444867 -1987.20444537487 47988.8543925918 -3.50155671466702 0.0383441412490011 -13852.8502936721 -13912.3716165584
151000 150.999 293.055523740015 -2343.37952946304 48009.6297906398 -3.50107264563353 0.0378709293918124 -13852.8068649669 -13923.0268336585
152000 151.999 291.670218846576 -2879.80876165509 48030.1511694303 -3.50088162129942 0.037691909446595 -13852.7588474113 -13939.0899414957
153000 152.999 290.854206747891 -3437.56970155506 48050.3928573969 -3.50076197457949 0.0375864579738579 -13852.7020664225 -13955.7971839919
154000 153.999 290.843717290504 -3959.75711947037 48070.3290654574 -3.50074466800458 0.0375851024440423 -13852.6382622422 -13971.4434174496
155000 154.999 290.250963964829 -4518.11619594056 48089.9350006334 -3.50065056695423 0.0375085022180615 -13852.5682589447 -13988.1812292935
156000 155.999 290.134504442261 -5030.62754909911 48109.1865411983 -3.5006163232057 0.0374934524066814 -13852.4914831961 -14003.548123447
157000 156.999 286.510472899916 -5309.60835366541 48128.0609333291 -3.50012694321337 0.0370251266747439 -13852.4072661545 -14011.9035228886
158000 157.999 292.900617402356 -6146.21708944885 48146.5376391811 -3.50093081310325 0.037850911181949 -13852.3196076852 -14037.017780724
159000 158.999 292.076626822552 -6605.74967151645 48164.5959799115 -3.5008009087018 0.0377444286674104 -13852.2259201376 -14050.8078267334
160000 159.999 288.567457460027 -6932.02091588932 48182.2148481374 -3.5003228987062 0.037290946325716 -13852.1278095219 -14060.5943056297
161000 160.999 290.356662079531 -7521.25840375885 48199.3749462072 -3.50052855240661 0.0375221613560557 -13852.0255642022 -14078.2927413017
162000 161.999 291.008393823201 -7987.22551095322 48216.058730651 -3.50058622288429 0.0376063832350087 -13851.9193585971 -14092.2877164722
163000 162.999 291.86364532703 -8441.03489898772 48232.249920514 -3.50066945311131 0.0377169055309217 -13851.8101903216 -14105.9208359563
164000 163.999 283.883236923163 -8523.83600397474 48247.9324580267 -3.49960933362327 0.0366856146706655 -13851.6948758104 -14108.3816165054
165000 164.999 286.532131398466 -9060.11743959412 48263.0912733922 -3.49992299325155 0.0370279255555119 -13851.5802707842 -14124.5023083592
166000 165.999 289.163971801009 -9570.92738977486 48277.7125137539 -3.50023419556631 0.0373680325795434 -13851.4646519471 -14139.8613928889
167000 166.999 293.807900861262 -10156.8084799341 48291.7835730322 -3.50080510325895 0.0379681574545055 -13851.3477832178 -14157.4878351444
168000 167.999 283.561551689429 -10113.5884283478 48305.2929024871 -3.49945113024075 0.0366440439859786 -13851.2283450191 -14156.1509620507
169000 168.999 293.642309188335 -10806.7744865631 48318.229891289 -3.50072389110083 0.0379467584019531 -13851.1085307955 -14177.0178260729
170000 169.999 289.695534199428 -10975.0653870443 48330.5851490569 -3.50018392478838 0.0374367252347814 -13850.9887982144 -14182.0580232374
